Value,ID,Channel,Folder 1,Filename
3.312341831,92,134Xe_134X,C01,134Xe_134X
3.297264402,93,134Xe_134X,C01,134Xe_134X
3.310402185,94,134Xe_134X,C01,134Xe_134X
3.317543262,95,134Xe_134X,C01,134Xe_134X
3.311734939,96,134Xe_134X,C01,134Xe_134X
3.303213541,97,134Xe_134X,C01,134Xe_134X
3.312945702,98,134Xe_134X,C01,134Xe_134X
3.320268349,99,134Xe_134X,C01,134Xe_134X
3.31218865,100,134Xe_134X,C01,134Xe_134X
3.315050971,101,134Xe_134X,C01,134Xe_134X
3.316791137,102,134Xe_134X,C01,134Xe_134X
3.30568471,103,134Xe_134X,C01,134Xe_134X
3.311699128,104,134Xe_134X,C01,134Xe_134X
3.314303946,105,134Xe_134X,C01,134Xe_134X
3.324600208,106,134Xe_134X,C01,134Xe_134X
3.315775422,107,134Xe_134X,C01,134Xe_134X
3.318348794,108,134Xe_134X,C01,134Xe_134X
3.316185211,109,134Xe_134X,C01,134Xe_134X
3.320708851,110,134Xe_134X,C01,134Xe_134X
3.327592142,111,134Xe_134X,C01,134Xe_134X
3.325731924,112,134Xe_134X,C01,134Xe_134X
3.327684437,113,134Xe_134X,C01,134Xe_134X
3.337045921,114,134Xe_134X,C01,134Xe_134X
3.31964057,115,134Xe_134X,C01,134Xe_134X
3.323664418,116,134Xe_134X,C01,134Xe_134X
3.322828038,117,134Xe_134X,C01,134Xe_134X
3.328732215,118,134Xe_134X,C01,134Xe_134X
3.321376997,119,134Xe_134X,C01,134Xe_134X
3.32826975,120,134Xe_134X,C01,134Xe_134X
3.3237916,121,134Xe_134X,C01,134Xe_134X
3.325448734,122,134Xe_134X,C01,134Xe_134X
3.32526512,123,134Xe_134X,C01,134Xe_134X
3.320248771,124,134Xe_134X,C01,134Xe_134X
3.330785099,125,134Xe_134X,C01,134Xe_134X
3.330076708,126,134Xe_134X,C01,134Xe_134X
3.342746078,127,134Xe_134X,C01,134Xe_134X
3.332649565,128,134Xe_134X,C01,134Xe_134X
3.324896359,129,134Xe_134X,C01,134Xe_134X
3.330798248,130,134Xe_134X,C01,134Xe_134X
3.320455715,131,134Xe_134X,C01,134Xe_134X
3.325595197,132,134Xe_134X,C01,134Xe_134X
3.326105839,133,134Xe_134X,C01,134Xe_134X
3.32638491,134,134Xe_134X,C01,134Xe_134X
3.324293763,135,134Xe_134X,C01,134Xe_134X
3.328591093,136,134Xe_134X,C01,134Xe_134X
0.086964488,1,138Ba_138Ba,C01,138Ba_138Ba
0.137502371,2,138Ba_138Ba,C01,138Ba_138Ba
0.108758001,3,138Ba_138Ba,C01,138Ba_138Ba
0.100014476,4,138Ba_138Ba,C01,138Ba_138Ba
0.1355802,5,138Ba_138Ba,C01,138Ba_138Ba
0.106884515,6,138Ba_138Ba,C01,138Ba_138Ba
0.126657335,7,138Ba_138Ba,C01,138Ba_138Ba
0.182858571,8,138Ba_138Ba,C01,138Ba_138Ba
0.155769887,9,138Ba_138Ba,C01,138Ba_138Ba
0.130730973,10,138Ba_138Ba,C01,138Ba_138Ba
0.133466861,11,138Ba_138Ba,C01,138Ba_138Ba
0.117785961,12,138Ba_138Ba,C01,138Ba_138Ba
0.11235924,13,138Ba_138Ba,C01,138Ba_138Ba
0.127625305,14,138Ba_138Ba,C01,138Ba_138Ba
0.096367473,15,138Ba_138Ba,C01,138Ba_138Ba
0.138866905,16,138Ba_138Ba,C01,138Ba_138Ba
0.125809373,17,138Ba_138Ba,C01,138Ba_138Ba
0.121256824,18,138Ba_138Ba,C01,138Ba_138Ba
0.166764889,19,138Ba_138Ba,C01,138Ba_138Ba
0.137759553,20,138Ba_138Ba,C01,138Ba_138Ba
0.160698074,21,138Ba_138Ba,C01,138Ba_138Ba
0.103368418,22,138Ba_138Ba,C01,138Ba_138Ba
0.124618955,23,138Ba_138Ba,C01,138Ba_138Ba
0.162821476,24,138Ba_138Ba,C01,138Ba_138Ba
0.117669415,25,138Ba_138Ba,C01,138Ba_138Ba
0.123116781,26,138Ba_138Ba,C01,138Ba_138Ba
0.122334056,27,138Ba_138Ba,C01,138Ba_138Ba
0.119971791,28,138Ba_138Ba,C01,138Ba_138Ba
0.112260185,29,138Ba_138Ba,C01,138Ba_138Ba
0.11919773,30,138Ba_138Ba,C01,138Ba_138Ba
0.115787253,31,138Ba_138Ba,C01,138Ba_138Ba
0.11774004,32,138Ba_138Ba,C01,138Ba_138Ba
0.108329264,33,138Ba_138Ba,C01,138Ba_138Ba
0.110926787,34,138Ba_138Ba,C01,138Ba_138Ba
0.132112689,35,138Ba_138Ba,C01,138Ba_138Ba
0.146783805,36,138Ba_138Ba,C01,138Ba_138Ba
0.114338584,37,138Ba_138Ba,C01,138Ba_138Ba
0.120529247,38,138Ba_138Ba,C01,138Ba_138Ba
0.252343838,39,138Ba_138Ba,C01,138Ba_138Ba
0.103329581,40,138Ba_138Ba,C01,138Ba_138Ba
0.118534576,41,138Ba_138Ba,C01,138Ba_138Ba
0.17211389,42,138Ba_138Ba,C01,138Ba_138Ba
0.124566178,43,138Ba_138Ba,C01,138Ba_138Ba
0.112417071,44,138Ba_138Ba,C01,138Ba_138Ba
0.131954838,45,138Ba_138Ba,C01,138Ba_138Ba
0.154954539,46,138Ba_138Ba,C01,138Ba_138Ba
0.094231836,47,138Ba_138Ba,C01,138Ba_138Ba
0.113206032,48,138Ba_138Ba,C01,138Ba_138Ba
0.128602678,49,138Ba_138Ba,C01,138Ba_138Ba
0.127982563,50,138Ba_138Ba,C01,138Ba_138Ba
0.155501485,51,138Ba_138Ba,C01,138Ba_138Ba
0.14113753,52,138Ba_138Ba,C01,138Ba_138Ba
0.136432306,53,138Ba_138Ba,C01,138Ba_138Ba
