value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id	cluster
0.133716149	79	Cs	Control	1	Control	C01R01	C01R01_0079	1
0.1302494	80	Cs	Control	1	Control	C01R01	C01R01_0080	1
0.11847975	81	Cs	Control	1	Control	C01R01	C01R01_0081	1
0.131510992	82	Cs	Control	1	Control	C01R01	C01R01_0082	1
0.134483118	83	Cs	Control	1	Control	C01R01	C01R01_0083	1
0.127745479	84	Cs	Control	1	Control	C01R01	C01R01_0084	1
0.1361193	85	Cs	Control	1	Control	C01R01	C01R01_0085	1
0.126265762	86	Cs	Control	1	Control	C01R01	C01R01_0086	1
0.12388741	87	Cs	Control	1	Control	C01R01	C01R01_0087	1
0.131224703	88	Cs	Control	1	Control	C01R01	C01R01_0088	1
0.118548785	89	Cs	Control	1	Control	C01R01	C01R01_0089	1
0.12977868	90	Cs	Control	1	Control	C01R01	C01R01_0090	1
0.136201006	91	Cs	Control	1	Control	C01R01	C01R01_0091	1
0.122593141	92	Cs	Control	1	Control	C01R01	C01R01_0092	1
0.125827132	93	Cs	Control	1	Control	C01R01	C01R01_0093	1
0.131889199	94	Cs	Control	1	Control	C01R01	C01R01_0094	1
0.135293921	95	Cs	Control	1	Control	C01R01	C01R01_0095	1
0.136349725	96	Cs	Control	1	Control	C01R01	C01R01_0096	1
0.134554797	97	Cs	Control	1	Control	C01R01	C01R01_0097	1
0.127542677	98	Cs	Control	1	Control	C01R01	C01R01_0098	1
0.122225645	99	Cs	Control	1	Control	C01R01	C01R01_0099	1
0.131283632	100	Cs	Control	1	Control	C01R01	C01R01_0100	1
0.133002347	101	Cs	Control	1	Control	C01R01	C01R01_0101	1
0.143142854	102	Cs	Control	1	Control	C01R01	C01R01_0102	1
0.12914178	103	Cs	Control	1	Control	C01R01	C01R01_0103	1
0.126206094	104	Cs	Control	1	Control	C01R01	C01R01_0104	1
0.133584049	105	Cs	Control	1	Control	C01R01	C01R01_0105	1
0.133805842	106	Cs	Control	1	Control	C01R01	C01R01_0106	1
0.120223378	107	Cs	Control	1	Control	C01R01	C01R01_0107	1
0.135435659	108	Cs	Control	1	Control	C01R01	C01R01_0108	1
0.122228574	109	Cs	Control	1	Control	C01R01	C01R01_0109	1
0.131441346	110	Cs	Control	1	Control	C01R01	C01R01_0110	1
0.13010874	111	Cs	Control	1	Control	C01R01	C01R01_0111	1
0.128785082	112	Cs	Control	1	Control	C01R01	C01R01_0112	1
0.126358368	113	Cs	Control	1	Control	C01R01	C01R01_0113	1
0.136797429	114	Cs	Control	1	Control	C01R01	C01R01_0114	1
0.13327271	115	Cs	Control	1	Control	C01R01	C01R01_0115	1
